step,loss,grad_norm,learning_rate,epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
10,2.5094348907470705,3.660111665725708,8.130081300813009e-06,0.007371913011426466,,,,,,,,,
20,2.2067018508911134,1.3552359342575073,2.4390243902439026e-05,0.014743826022852931,,,,,,,,,
30,1.9842048645019532,1.3610445261001587,3.9024390243902444e-05,0.022115739034279394,,,,,,,,,
40,1.4453648567199706,1.8970872163772583,5.528455284552846e-05,0.029487652045705862,,,,,,,,,
50,0.9253305435180664,1.0208054780960083,7.154471544715447e-05,0.036859565057132324,,,,,,,,,
60,0.657811450958252,1.0080899000167847,8.78048780487805e-05,0.04423147806855879,,,,,,,,,
70,0.5325678825378418,1.179484486579895,0.00010406504065040652,0.05160339107998525,,,,,,,,,
80,0.46424160003662107,0.7851490378379822,0.00012032520325203254,0.058975304091411725,,,,,,,,,
90,0.43357343673706056,0.6678184270858765,0.00013658536585365856,0.06634721710283818,,,,,,,,,
100,0.42865333557128904,0.504336953163147,0.00015284552845528458,0.07371913011426465,,,,,,,,,
110,0.4299802303314209,0.7422159314155579,0.00016910569105691058,0.08109104312569111,,,,,,,,,
120,0.4305733203887939,0.6420901417732239,0.0001853658536585366,0.08846295613711758,,,,,,,,,
130,0.3975999355316162,3.3535053730010986,0.00019994934143870315,0.09583486914854404,,,,,,,,,
140,0.43476247787475586,0.7552189230918884,0.00019944275582573455,0.1032067821599705,,,,,,,,,
150,0.41140174865722656,0.4734717905521393,0.00019893617021276595,0.11057869517139697,,,,,,,,,
160,0.4371207237243652,0.5229244232177734,0.00019842958459979736,0.11795060818282345,,,,,,,,,
170,0.3902259349822998,2.2524309158325195,0.00019792299898682879,0.12532252119424991,,,,,,,,,
180,0.3944380521774292,0.841350793838501,0.0001974164133738602,0.13269443420567636,,,,,,,,,
190,0.3597520351409912,0.6966808438301086,0.0001969098277608916,0.14006634721710284,,,,,,,,,
200,0.3537273645401001,0.42184165120124817,0.000196403242147923,0.1474382602285293,,,,,,,,,
210,0.3575055837631226,0.43827110528945923,0.00019589665653495442,0.15481017323995577,,,,,,,,,
220,0.3564732551574707,0.588492214679718,0.00019539007092198582,0.16218208625138222,,,,,,,,,
230,0.346349310874939,0.44848185777664185,0.00019488348530901723,0.1695539992628087,,,,,,,,,
240,0.37503666877746583,0.6063761711120605,0.00019437689969604863,0.17692591227423515,,,,,,,,,
250,0.39869704246521,1.0242081880569458,0.00019387031408308006,0.18429782528566163,,,,,,,,,
260,0.3369123458862305,0.6244482398033142,0.00019336372847011146,0.19166973829708808,,,,,,,,,
